id,quality
645,5.0
646,6.0
647,5.0
648,7.0
649,5.5
650,5.5
651,5.0
652,6.0
653,6.5
654,5.5
655,6.0
656,5.0
657,6.5
658,6.0
659,6.5
660,5.5
661,5.66666666667
662,6.0
663,5.5
664,5.5
665,5.5
666,5.0
667,5.0
668,5.0
669,5.5
670,7.0
671,5.66666666667
672,5.0
673,5.0
674,5.0
675,5.0
676,6.5
677,5.5
678,5.5
679,5.0
680,5.66666666667
681,5.5
682,5.5
683,5.5
684,5.0
685,5.5
686,6.5
687,5.5
688,5.0
689,5.0
690,6.5
691,5.0
692,5.5
693,5.5
694,5.5
695,5.5
696,5.66666666667
697,5.0
698,5.0
699,6.5
700,5.0
701,5.5
702,6.5
703,5.5
704,4.0
705,6.5
706,5.5
707,5.5
708,5.5
709,5.0
710,5.0
711,6.5
712,5.0
713,6.0
714,5.5
715,6.5
716,6.0
717,5.0
718,5.0
719,6.0
720,5.5
721,5.0
722,5.5
723,6.5
724,6.0
725,6.0
726,7.0
727,5.0
728,7.0
729,6.5
730,6.5
731,6.0
732,5.66666666667
733,5.0
734,5.5
735,5.5
736,6.5
737,6.0
738,5.0
739,5.0
740,5.66666666667
741,6.5
742,6.5
743,5.5
744,6.5
745,5.0
746,6.0
747,5.5
748,5.5
749,5.0
750,5.0
751,6.5
752,6.0
753,6.0
754,6.5
755,5.5
756,5.5
757,6.5
758,6.0
759,5.5
760,5.5
761,5.0
762,5.5
763,6.5
764,5.5
765,6.5
766,5.0
767,5.5
768,6.0
769,5.0
770,5.0
771,5.0
772,5.0
773,6.0
774,5.0
775,5.0
776,5.66666666667
777,6.5
778,5.66666666667
779,5.0
780,5.5
781,5.5
782,6.0
783,6.5
784,6.0
785,5.0
786,8.0
787,6.5
788,5.0
789,5.0
790,6.0
791,5.0
792,4.0
793,5.5
794,6.5
795,6.5
796,6.5
797,6.5
798,5.0
799,5.5
800,6.5
801,5.5
802,5.5
803,7.0
804,5.5
805,5.5
806,5.5
807,5.5
808,5.5
809,5.0
810,5.0
811,6.5
812,5.5
813,5.0
814,7.0
815,5.5
816,5.0
817,5.0
818,5.0
819,5.5
820,5.0
821,6.5
822,6.5
823,6.5
824,7.0
825,5.0
826,6.5
827,8.0
828,5.5
829,5.66666666667
830,5.5
831,5.5
832,5.5
833,5.0
834,5.66666666667
835,5.5
836,5.0
837,6.0
838,6.0
839,6.5
840,6.5
841,5.5
842,6.0
843,5.0
844,5.0
845,5.5
846,5.5
847,5.5
848,6.5
849,6.0
850,5.0
851,6.5
852,5.66666666667
853,5.0
854,5.5
855,5.5
856,5.66666666667
857,6.5
858,5.5
859,5.0
860,6.0
861,5.5
862,7.0
863,6.5
864,6.5
865,5.0
866,5.0
867,5.5
868,6.0
869,5.0
870,6.5
871,5.0
872,6.0
873,5.5
874,5.66666666667
875,5.0
876,6.0
877,6.5
878,5.0
879,5.5
880,5.0
881,5.0
882,6.5
883,5.5
884,5.5
885,6.0
886,5.5
887,4.5
888,5.0
889,6.0
890,5.0
891,5.0
892,5.66666666667
893,5.5
894,6.5
895,5.5
896,5.0
897,5.5
898,6.0
899,6.5
900,5.5
901,6.0
902,5.5
903,5.5
904,6.5
905,6.0
906,6.5
907,5.5
908,6.0
909,5.0
910,5.5
911,5.0
912,7.0
913,6.0
914,5.5
915,5.5
916,5.66666666667
917,5.5
918,5.5
919,5.0
920,6.5
921,5.5
922,6.0
923,5.0
924,5.0
925,6.0
926,6.0
927,6.0
928,5.5
929,5.5
930,6.0
931,6.5
932,6.0
933,5.0
934,5.5
935,5.5
936,6.0
937,6.0
938,5.0
939,5.0
940,5.5
941,5.66666666667
942,5.0
943,5.66666666667
944,5.5
945,5.5
946,6.0
947,5.0
948,5.5
949,6.0
950,6.5
951,6.0
952,6.0
953,4.5
954,6.0
955,6.5
956,5.0
957,6.0
958,6.0
959,6.0
960,5.5
961,4.5
962,5.66666666667
963,5.0
964,6.5
965,5.66666666667
966,6.0
967,5.5
968,6.0
969,6.0
970,6.5
971,5.66666666667
972,4.5
973,5.0
974,5.5
975,5.5
976,5.5
977,5.0
978,5.5
979,5.5
